Object_ID,Image_File,Description,Confidence
object_1,object_2.png,car,0.83869797
object_2,object_7.png,truck,0.7074086
object_3,object_4.png,bus,0.27833652
object_4,object_9.png,kite,0.4338967
object_5,object_8.png,car,0.832751
object_6,object_5.png,bird,0.70282567
object_7,object_1.png,car,0.9308215
object_8,object_3.png,car,0.7920137
object_9,object_6.png,airplane,0.4431615
object_10,object_6.png,kite,0.39535215
object_11,object_6.png,car,0.3289455
object_12,object_10.png,bus,0.502529
object_13,object_10.png,person,0.49885237
object_14,object_14.png,airplane,0.3914075
object_15,object_12.png,person,0.49940935
object_16,object_12.png,bus,0.47618824
object_17,object_13.png,kite,0.34914595
object_18,object_11.png,kite,0.59396017
