Object_ID,Image_File,Extracted_Text,Summary
object_1,object_2.png,No text extracted.,No text extracted.
object_2,object_7.png,No text extracted.,No text extracted.
object_3,object_4.png,No text extracted.,No text extracted.
object_4,object_9.png,No text extracted.,No text extracted.
object_5,object_8.png,No text extracted.,No text extracted.
object_6,object_5.png,No text extracted.,No text extracted.
object_7,object_1.png,No text extracted.,No text extracted.
object_8,object_3.png,No text extracted.,No text extracted.
object_9,object_6.png,No text extracted.,No text extracted.
object_10,object_10.png,No text extracted.,No text extracted.
object_11,object_14.png,No text extracted.,No text extracted.
object_12,object_12.png,No text extracted.,No text extracted.
object_13,object_13.png,No text extracted.,No text extracted.
object_14,object_11.png,No text extracted.,No text extracted.
